descrizione,quantita,prezzo,importo,iva
OMFY PACKAGE STUZZICADENTI IN LEGNO DI BAMBU 500PZ,120,1.200,144.00,22
GANCIO PORTA MET. 1POSTO 4X3X20CM GRIGIO,144,1.000,144.00,22
GANCIO PORTA MET. 1POSTO 4X3X20CM NERO,144,1.000,144.00,22
GANCIO PORTA MET. 3POSTI 30X3X20CM NERO,120,2.780,333.60,22
GANCIO PORTA MET. 5POSTI 50X3X20CM NERO,100,4.500,450.00,22
L/BLACK SCHIACCIANOCI 17X5CM,72,2.950,212.40,22
L/BLACK TAGLIAPIZZA 18.5X7.5CM,72,2.500,180.00,22
MENSOLA BAGNO ELEGANTE LEGNO 2P 20.5X9X48.5CM,120,3.500,420.00,22
MESTOLO FORATO BAMBOO 30X6X0.8CM,96,0.900,86.40,22
MOLLETTA CHIUDIPACCO PLAST. 8CM 6PZ ASS,96,0.900,86.40,22
PATTUMIERA PEDALE 3L 18.8X25.8CM BIANC.OP,60,6.900,414.00,22
PATTUMIERA PEDALE CROMATA 3L 16.8X25.8CM,60,6.900,414.00,22
PATTUMIERA PEDALE CROMATA 3L 20.2X27.5CM,60,8.500,510.00,22
P/SPAZZOLINI+SUPPORTO MET. 10X6CM,48,4.200,201.60,22
PANNO MICROFIBRA 30X40CM 2PZ120,120,0.900,108.00,22
PANNO MICROFIBRA PULISCITUTTO 40*40CM 3PZ,120,0.900,108.00,22
PANNO MICROFIBRA PER CUCINA MULTIUSO,120,1.800,216.00,22
SEDIA PLAST SUPER RESISTENTE W215,60,3.750,225.00,22
BILANCIA PER CUCINA RICAR. A DISPLAY 8KG,36,5.500,198.00,22
PADELLA BOMBATA CM.20 ANTIADERENTE,36,5.990,215.64,22
PADELLA BOMBATA CM.20 IDUZIONE,36,6.950,250.00,22
PADELLA BOMBATA CM.24 INDUZIONE,36,7.800,280.80,22
PADELLA BOMBATA CM.26 INDUZIONE,36,8.500,306.00,22
CIOTOLA IN VETRO PER DESSERT 215ML,48,3.500,168.00,22
CENTRIFUGA PER INSALATA 4L PLAST,36,4.500,162.00,22
TAZZINA MOKA CON PIATTINO IN CERAMICA 80 ML,72,1.300,93.60,22
TAZZINA ESPRESSO IN PORCELLANA NEW BOWN 2PZ,120,2.800,336.00,22
MINI CIOTOLE DA DESSERT IN VETRO 180ML,72,1.550,111.60,22
BOTTGLIA IN VETRO TRAD CLASSIC 500ML,144,0.790,113.76,22
BOTTGLIA IN VETRO TRAD CLASSIC 1ML,100,1.500,150.00,22
